"SYMBOL 
"
NIACL
GMRINFRA
COROMANDEL
CONCOR
DIXON
BIOCON
SUNDRMFAST
PATANJALI
SUNTV
OFSS
ASHOKLEY
MAHABANK
GICRE
AJANTPHARM
PRESTIGE
MPHASIS
GLAXO
KPITTECH
EMAMILTD
DEEPAKNTR
CGPOWER
OIL
CRISIL
HINDZINC
LALPATHLAB
LAURUSLABS
ZEEL
AUROPHARMA
BHEL
GODREJPROP
VOLTAS
SUPREMEIND
NMDC
TIINDIA
MUTHOOTFIN
BSE
OBEROIRLTY
ABFRL
CARBORUNIV
THERMAX
PEL
GUJGASLTD
NHPC
SAIL
IGL
ASTRAL
UNOMINDA
IDFCFIRSTB
MANYAVAR
RAMCOCEM
SCHAEFFLER
PETRONET
LUPIN
ATUL
UBL
COFORGE
SJVN
ESCORTS
ABBOTINDIA
ALKEM
ABCAPITAL
HDFCAMC
BATAINDIA
RVNL
METROBRAND
UNIONBANK
FEDERALBNK
ENDURANCE
ISEC
TATACHEM
IPCALAB
GODREJIND
JKCEMENT
KALYANKJIL
CUMMINSIND
KANSAINER
IDBI
TIMKEN
MRF
TATACOMM
UPL
YESBANK
INDUSTOWER
PIIND
HONAUT
JSWINFRA
M&MFIN
APLAPOLLO
TATAELXSI
LICHSGFIN
AWL
KPRMILL
TATATECH
FLUOROCHEM
PGHH
SYNGENE
BANKINDIA
INDIANB
FACT
GRINDWELL
BANDHANBNK
SUNDARMFIN
HINDPETRO
BHARATFORG
NYKAA
JUBLFOOD
DEVYANI
IDEA
DALBHARAT
AIAENG
KEI
MAXHEALTH
DELHIVERY
BALKRISIND
BAYERCROP
GLAND
SUMICHEM
SOLARINDS
FORTIS
PAYTM
LLOYDSME
MSUMI
JSWENERGY
LINDEINDIA
PAGEIND
STARHEALTH
PERSISTENT
ZFCVINDIA
3MINDIA
INDHOTEL
POLYCAB
MANKIND
KAJARIACER
SUZLON
POLICYBZR
AUBANK
TORNTPOWER
LODHA
MAZDOCK
SKFINDIA
POONAWALLA
APOLLOTYRE
ACC
MFSL
BDL
PHOENIXLTD
LTF
SONACOMS
JSL
LTTS
